motivo,count
Desconto alinhado com Rafael esposo da Gicelma Aparecida,2
Cooperado tem na cocapec a esse preço e daria a preferência para cooxupé,2
autorizado pelo comercial,2
concição concorrente coopama,2
Desconto promoção cappuccino,2
Produto com validade próxima ao vencimento.,2
combate a concorrencia,2
Desconto aplicado para combater concorrência COOPERCAM com o de acordo do Inácio,2
COOPERADO TEM ESSE PREÇO NA COOCAPEC DO ROUNDUP,2
cooperado    /  gerente,2
Preço negociado com o vendedor para acompanhar valores da concorrência.,2
gerente  /  cooperado,2
Alinhamento com o comercial.,2
Desconto,2
desconto para cobrir preço da concorrência,2
mesma condição da ordem 11830709 -,2
Autorização de desconto pedido fechado com o cooperado vencimento 15/04/2026,2
pagamento avista,2
Pagamento a vist,2
Cotação Específca - Alinhado como comercial insumos,2
Desconto promoção.,2
Desconto solicitado de acordo com a promoção dos 10% de desconto.,2
Desconto aplicado para combater concorrência COOPERCAM.,2
"Prorecover Power Plant vencido, desconto necessário para fechar a negociação.",2
"Desconto autorizado pelo supervisor, sapato com elastico do cadarço arrebentado.",2
Fechamento feito semana passada e nao faturado pelo vendedor.,2
acompanhar  preço agrolima,2
desconto produto vencido.,2
desconto 3% para Warllen.,2
Desconto concedido para acompanhar a concorrência.,2
"Desconto necessário para a finalização da compra, cooperado cotando em outra cooperativa, mas seguindo a recomendação Cooxupé e preferência Cooxupé.",2
"cooperado muito participativo, está dando preferência para a cooxupe. preço do verdadero no mercado é de 285,00",2
condição  comercial    gerente /  cooperado,2
cotação especifica alinhada com guilherme fmc,2
POR FAVOR CONCEDER DESCONTO AO COOPERADO.,2
Acompanhar preço Coopercitrus.,2
Desconto aplicado para combater concorrência COOPERCAM com o de acordo do Inácio.,2
Cooperado tem na cocapec mais dará a preferência para Cooxupé,2
"o item :46057-Fertilizante Foliar YARAVITA MAGTRAC 5 L-02 unidades. encontrou oferta na Agrofertil santiago de 265,00 preço unitário, 
o item: 442-boro granulado 10% preço da tabela de fertilizantes L23 com  margem 21.8%",2
Desconto solicitado pelo Cleiton,2
ajustando preço de embalagem - 20 lt em falta e preciso sair com estoque deste,2
Preço Coopama,2
Solicitação de desconto para acompanhar a concorrência - ação vendas ICL,2
Cliente de Ração mensal,2
Desconto aplicado em negociação entre Inácio e cooperado.,2
Autorização de desconto pedido avista fechado com o cooperado alinhado com o gerente Inácio Orani Melo preço acompanhando concorrente Coopercam,2
Desconto preço concorrente,2
cooperado fecha nesse preço de coocapec,2
Acompanhar o valor da concorrência.,2
conforme pregao escola agricola,2
compra a vista,2
desc aut ger do Nucleo Vandelino,2
Pagto vista Sandro Elísio,2
Desc aut ger Vandelino,2
liquidação por vencimento,2
desconto solicitado acompanhar  preço concorrente copercitrus,2
Desconto solicitado pelo cooperado.,2
Alinhado com Paulo Otávio - acompanhar concorrência local,2
"Desconto aut. por Simoninho - grupo unilago, cooperado vai retirar na Loja.",2
Alinhado com a gerencia.,2
PREÇO ALINHADO DANIEL,2
Acerto Comercial Com Flávio (Gerente Rio Paranaíba-MG).,2
Desconto eto,2
COBRIR OFERTA COOPERCAM,2
Desconto Ração semanal,2
desconto acertado com insumos,2
condição  comercial  /  gerente,2
Ajuste de preço,2
"meu supervisor aprovou. 
Está com defeito",2
condição  comercial   /   gerente  cooperaod,2
Autorização de desconto pedido fechado com o coooperado preço acompanhando concorrente Coopercam,2
Concorrenacia,2
Desconto combinado para revenda,2
Meu supervisor aprovou pois estava com uma amassado na aba,2
venda de ralção a vista,2
Autorização de desconto pedido avista fechado com o coopero preço acompanhando concorrente Coopercam,2
condição coopama,2
"Desconto para cooperado.
Já alinhado com a gerencia do núcleo.
Preço para batermos com o da concorrência.",2
Acerto Comercial Com Flávio (Gerente Rio Paranaíba-MG). Acompanhar Mercado (Coopercitrus/São Gotardo-MG).,2
